Cod_CCAA;CCAA;Cod_CP;Provincia;CCAA2
01;Andalucía;04;Almería;Andalucía
01;Andalucía;11;Cádiz;Andalucía
01;Andalucía;14;Córdoba;Andalucía
01;Andalucía;18;Granada;Andalucía
01;Andalucía;21;Huelva;Andalucía
01;Andalucía;23;Jaén;Andalucía
01;Andalucía;29;Málaga;Andalucía
01;Andalucía;41;Sevilla;Andalucía
02;Aragón;22;Huesca;Aragón
02;Aragón;44;Teruel;Aragón
02;Aragón;50;Zaragoza;Aragón
03;Asturias, Principado de;33;Asturias;Asturias, Principado de
04;Balears, Illes;07;Balears, Illes;Balears, Illes
05;Canarias;35;Palmas, Las;Canarias
05;Canarias;38;Santa Cruz de Tenerife;Canarias
06;Cantabria;39;Cantabria;Cantabria
7;Castilla y León;05;Ávila;Castilla y León
7;Castilla y León;09;Burgos;Castilla y León
7;Castilla y León;24;León;Castilla y León
7;Castilla y León;34;Palencia;Castilla y León
7;Castilla y León;37;Salamanca;Castilla y León
7;Castilla y León;40;Segovia;Castilla y León
7;Castilla y León;42;Soria;Castilla y León
7;Castilla y León;47;Valladolid;Castilla y León
7;Castilla y León;49;Zamora;Castilla y León
8;Castilla-La Mancha;02;Albacete;Castilla-La Mancha
8;Castilla-La Mancha;13;Ciudad Real;Castilla-La Mancha
8;Castilla-La Mancha;16;Cuenca;Castilla-La Mancha
8;Castilla-La Mancha;19;Guadalajara;Castilla-La Mancha
8;Castilla-La Mancha;45;Toledo;Castilla-La Mancha
9;Cataluña;08;Barcelona;Cataluña
9;Cataluña;17;Girona;Cataluña
9;Cataluña;25;Lleida;Cataluña
9;Cataluña;43;Tarragona;Cataluña
10;Comunitat Valenciana;03;Alicante/Alacant;Comunitat Valenciana
10;Comunitat Valenciana;12;Castellón/Castelló;Comunitat Valenciana
10;Comunitat Valenciana;46;Valencia/València;Comunitat Valenciana
11;Extremadura;06;Badajoz;Extremadura
11;Extremadura;10;Cáceres;Extremadura
12;Galicia;15;Coruña, A;Galicia
12;Galicia;27;Lugo;Galicia
12;Galicia;32;Ourense;Galicia
12;Galicia;36;Pontevedra;Galicia
13;Madrid, Comunidad de;28;Madrid;Madrid, Comunidad de
14;Murcia, Región de;30;Murcia;Murcia, Región de
15;Navarra, Comunidad Foral de;31;Navarra;Navarra, Comunidad Foral de
16;País Vasco;01;Araba/Álava;País Vasco
16;País Vasco;48;Bizkaia;País Vasco
16;País Vasco;20;Gipuzkoa;País Vasco
18;Ceuta;51;Ceuta;Ceuta
19;Melilla;52;Melilla;Melilla
